#SpaceTrack

CAT ID,SATNAME,INTLDES,TYPE,COUNTRY,LAUNCH DATE,SITE,DECAY
64 ,DELTA 1 R/B,1960-016B,ROCKET BODY,US,1960-11-23,AFETR,1981-09-24
65 ,SPUTNIK 6,1960-017A,PAYLOAD,CIS,1960-12-01,TTMTR,1960-12-02
66 ,SL-3 R/B,1960-017B,ROCKET BODY,CIS,1960-12-01,TTMTR,1960-12-02
67 ,DISCOVERER 18,1960-018A,PAYLOAD,US,1960-12-07,AFWTR,1961-04-02
68 ,DISCOVERER 19,1960-019A,PAYLOAD,US,1960-12-20,AFWTR,1961-01-23
69 ,JUNO II DEB,1960-014C,DEBRIS,US,1960-11-03,AFETR,1970-02-16
70 ,SAMOS 2,1961-001A,PAYLOAD,US,1961-01-31,AFWTR,1973-10-21
71 ,SPUTNIK 7,1961-002A,PAYLOAD,CIS,1961-02-04,TTMTR,1961-02-26
72 ,SL-6 R/B,1961-002B,ROCKET BODY,CIS,1961-02-04,TTMTR,1961-02-13
73 ,SL-6 DEB,1961-002C,DEBRIS,CIS,1961-02-04,TTMTR,1961-03-17
74 ,DELTA 1 DEB,1960-016C,DEBRIS,US,1960-11-23,AFETR,1989-05-10
75 ,DELTA 1 DEB,1960-016D,DEBRIS,US,1960-11-23,AFETR,1990-01-25
76 ,SL-6 R/B,1961-003B,ROCKET BODY,CIS,1961-02-12,TTMTR,1961-02-18
77 ,SPUTNIK 8,1961-003C,PAYLOAD,CIS,1961-02-12,TTMTR,1961-02-25
78 ,SL-6 DEB,1961-003D,DEBRIS,CIS,1961-02-12,TTMTR,1961-02-18
79 ,ATLAS AGENA A R/B,1961-001B,ROCKET BODY,US,1961-01-31,AFWTR,1970-10-09
80 ,VENERA 1,1961-003A,PAYLOAD,CIS,1961-02-12,TTMTR,
81 ,EXPLORER 9,1961-004A,PAYLOAD,US,1961-02-16,WLPIS,1964-04-09
82 ,SCOUT X-1 R/B,1961-004B,ROCKET BODY,US,1961-02-16,WLPIS,
83 ,DISCOVERER 20,1961-005A,PAYLOAD,US,1961-02-17,AFWTR,1962-07-28
84 ,DISCOVERER 21,1961-006A,PAYLOAD,US,1961-02-18,AFWTR,1962-04-20
85 ,SCOUT X-1 DEB,1961-004C,DEBRIS,US,1961-02-16,WLPIS,
86 ,SCOUT X-1 DEB,1961-004D,DEBRIS,US,1961-02-16,WLPIS,1961-06-30
87 ,TRANSIT 3B/LOFTI 1,1961-007A,PAYLOAD,US,1961-02-22,AFETR,1961-03-30
88 ,DISCOVERER 20 DEB,1961-005B,DEBRIS,US,1961-02-17,AFWTR,1961-04-02
89 ,DISCOVERER 20 DEB,1961-005C,DEBRIS,US,1961-02-17,AFWTR,1961-04-20
90 ,DISCOVERER 20 DEB,1961-005D,DEBRIS,US,1961-02-17,AFWTR,1961-10-31
91 ,SPUTNIK 9,1961-008A,PAYLOAD,CIS,1961-03-09,TTMTR,1961-03-09
92 ,SPUTNIK 9 DEB,1961-008B,DEBRIS,CIS,1961-03-09,TTMTR,1961-03-10
93 ,SPUTNIK 9 DEB,1961-008C,DEBRIS,CIS,1961-03-09,TTMTR,1961-03-10
94 ,SPUTNIK 9 DEB,1961-008D,DEBRIS,CIS,1961-03-09,TTMTR,1961-03-10
95 ,SPUTNIK 10,1961-009A,PAYLOAD,CIS,1961-03-25,TTMTR,1961-03-25
96 ,SL-3 R/B,1961-009B,ROCKET BODY,CIS,1961-03-25,TTMTR,1961-03-26
97 ,SL-3 DEB,1961-009C,DEBRIS,CIS,1961-03-25,TTMTR,1961-03-26
98 ,EXPLORER 10,1961-010A,PAYLOAD,US,1961-03-25,AFETR,1961-06-30
99 ,THOR ABLESTAR DEB,1960-003D,DEBRIS,US,1960-04-13,AFETR,1979-07-15
100 ,DISCOVERER 23,1961-011A,PAYLOAD,US,1961-04-08,AFWTR,1962-04-16
101 ,THOR ABLE DEB (YO),1960-002C,DEBRIS,US,1960-04-01,AFETR,1983-04-17
102 ,DISCOVERER 23 CAPSULE,1961-011B,PAYLOAD,US,1961-04-08,AFWTR,1962-05-23
103 ,VOSTOK 1,1961-012A,PAYLOAD,CIS,1961-04-12,TTMTR,1961-04-12
104 ,SL-3 R/B,1961-012B,ROCKET BODY,CIS,1961-04-12,TTMTR,1961-04-16
105 ,JUNO II DEB,1960-014D,DEBRIS,US,1960-11-03,AFETR,1972-03-03
106 ,DISCOVERER 23 DEB,1961-011C,DEBRIS,US,1961-04-08,AFWTR,1961-09-10
107 ,EXPLORER 11,1961-013A,PAYLOAD,US,1961-04-27,AFETR,
108 ,DISCOVERER 25,1961-014A,PAYLOAD,US,1961-06-16,AFWTR,1961-07-12
109 ,DISCOVERER 25 DEB,1961-014B,DEBRIS,US,1961-06-16,AFWTR,1961-06-19
110 ,PIONEER 1,1958-007A,PAYLOAD,US,1958-10-11,AFETR,1958-10-12
111 ,PIONEER 3,1958-008A,PAYLOAD,US,1958-12-06,AFETR,1958-12-07
112 ,LUNA 1,1959-012A,PAYLOAD,CIS,1959-01-02,TTMTR,
113 ,PIONEER 4,1959-013A,PAYLOAD,US,1959-03-03,AFETR,
114 ,LUNA 2,1959-014A,PAYLOAD,CIS,1959-09-12,TTMTR,1959-09-13
115 ,THOR ABLE DEB (YO),1960-002D,DEBRIS,US,1960-04-01,AFETR,
116 ,TRANSIT 4A,1961-015A,PAYLOAD,US,1961-06-29,AFETR,
117 ,SOLRAD 3/INJUN 1,1961-015B,PAYLOAD,US,1961-06-29,AFETR,
118 ,THOR ABLESTAR R/B,1961-015C,ROCKET BODY,US,1961-06-29,AFETR,
119 ,THOR ABLESTAR DEB,1961-015D,DEBRIS,US,1961-06-29,AFETR,
120 ,THOR ABLESTAR DEB,1961-015E,DEBRIS,US,1961-06-29,AFETR,
121 ,THOR ABLESTAR DEB,1961-015F,DEBRIS,US,1961-06-29,AFETR,
122 ,THOR ABLESTAR DEB,1961-015G,DEBRIS,US,1961-06-29,AFETR,
123 ,THOR ABLESTAR DEB,1961-015H,DEBRIS,US,1961-06-29,AFETR,
124 ,THOR ABLESTAR DEB,1961-015J,DEBRIS,US,1961-06-29,AFETR,
125 ,THOR ABLESTAR DEB,1961-015K,DEBRIS,US,1961-06-29,AFETR,
126 ,THOR ABLESTAR DEB,1961-015L,DEBRIS,US,1961-06-29,AFETR,
127 ,THOR ABLESTAR DEB,1961-015M,DEBRIS,US,1961-06-29,AFETR,
128 ,THOR ABLESTAR DEB,1961-015N,DEBRIS,US,1961-06-29,AFETR,
129 ,THOR ABLESTAR DEB,1961-015P,DEBRIS,US,1961-06-29,AFETR,1981-08-31
130 ,THOR ABLESTAR DEB,1961-015Q,DEBRIS,US,1961-06-29,AFETR,
